Info					LAZARUS							OFFICIAL							CHANGES																LEVEL - UP MOVES																											EGG MOVES																	TM/HM MOVES																																						MOVE TUTOR MOVES																								POKEDEX STATS							
Name	Nat #	#	Type		HP	ATK	DEF	SPA	SPD	SPE	BST	HP	ATK	DEF	SPA	SPD	SPE	BST	HP	ATK	DEF	SPA	SPD	SPE	BST	Ability 1	Ability 2	Hidden Ability	Evolution	Item 1 - 50%	Item 2 - 5%	Location	Egg Groups		Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Move 23	Move 24	Move 25	Move 26	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Move 24	Move 25	Move 26	Move 27	Move 28	Move 29	Move 30	Move 31	Move 32	Move 33	Move 34	Move 35	Move 36	Move 37	Move 38	Move 1	Move 2	Move 3	Move 4	Move 5	Move 6	Move 7	Move 8	Move 9	Move 10	Move 11	Move 12	Move 13	Move 14	Move 15	Move 16	Move 17	Move 18	Move 19	Move 20	Move 21	Move 22	Move 23	Sprite #	EV Yield	Height (m)	Weight (kg)	Base Exp.	Catch Rate	Egg Cycles	Base Friendship	Growth Rate
Rowlet	722	1	Grass	Flying	68	55	55	50	50	42	320	68	55	55	50	50	42	320	0	0	0	0	0	0	0	Overgrow	Long Reach	Fluffy				Starter, 100 Unique Species (event) Sea of Vulcai (wild)	Flying	Flying	1, Tackle	1, Leafage	4, Growl	8, Peck	11, Astonish	14, Razor Leaf	16, Ominous Wind	18, Foresight	22, Pluck	25, Synthesis	29, Swords Dance	32, Sucker Punch	35, Dual Wingbeat	37, Leaf Blade	39, Feather Dance	43, Brave Bird	46, Nasty Plot	49, U-Turn										Curse	Confuse Ray	Ominous Wind	Haze	Baton Pass	Defog												TM06 - Toxic	TM09 - Bullet Seed	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM22 - Solar Beam	TM32 - Double Team	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM47 - Steel Wing	TM57 - Roost																								Endure	Sleep Talk	Snore	Swagger	Swift	Swords Dance																		722	1 HP	0.3	1.5	64	45	15	50	Medium Slow
Dartrix	723	2	Grass	Flying	78	75	75	70	70	52	420	78	75	75	70	70	52	420	0	0	0	0	0	0	0	Overgrow	Long Reach	Fluffy	Lv. 17			Rowlet (evolve)	Flying	Flying	1, Tackle	1, Leafage	4, Growl	8, Peck	11, Astonish	14, Razor Leaf	16, Ominous Wind	18, Foresight	22, Pluck	25, Synthesis	29, Swords Dance	32, Sucker Punch	35, Dual Wingbeat	37, Leaf Blade	39, Feather Dance	43, Brave Bird	46, Nasty Plot	49, U-Turn										Curse	Confuse Ray	Ominous Wind	Haze	Baton Pass	Defog												TM06 - Toxic	TM09 - Bullet Seed	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM22 - Solar Beam	TM32 - Double Team	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM47 - Steel Wing	TM57 - Roost																								Endure	Sleep Talk	Snore	Swagger	Swift	Swords Dance																		723	2 HP	0.7	16.0	147	45	15	50	Medium Slow
Decidueye	724	3	Grass	Ghost	78	107	75	94	100	76	530	78	107	75	100	100	70	530	0	0	0	-6	0	6	0	Overgrow	Long Reach	Fluffy	Lv. 34, Night			Dartrix (evolve)	Flying	Flying	Evo, Spirit Shackle	1, Phantom Force	1, Leaf Storm	1, U-Turn	1, Shadow Sneak	1, Tackle	1, Leafage	4, Growl	8, Peck	11, Astonish	14, Razor Leaf	16, Ominous Wind	18, Foresight	22, Pluck	25, Synthesis	29, Swords Dance	32, Sucker Punch	35, Dual Wingbeat	37, Leaf Blade	39, Feather Dance	41, Shadow Sneak	45, Brave Bird	48, Nasty Plot	52, U-Turn				Curse	Confuse Ray	Ominous Wind	Haze	Baton Pass	Defog												TM06 - Toxic	TM09 - Bullet Seed	TM11 - Sunny Day	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM22 - Solar Beam	TM23 - Hex	TM30 - Shadow Ball	TM32 - Double Team	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM47 - Steel Wing	TM57 - Roost																						Endure	Sleep Talk	Snore	Swagger	Swift	Swords Dance																		724	3 Atk	1.6	36.6	265	45	15	50	Medium Slow
Litten	725	4	Fire		45	65	40	60	40	70	320	45	65	40	60	40	70	320	0	0	0	0	0	0	0	Blaze	Rivalry	Intimidate				Starter, 100 Unique Species (event) Sea of Vulcai (wild)	Field	Field	1, Scratch	1, Ember	4, Growl	8, Lick	11, Leer	14, Fire Fang	16, Double Kick	18, Roar	22, Bite	25, Swagger	29, Fury Swipes	32, Thrash	35, Flamethrower	39, Parting Shot	43, Flare Blitz	46, Outrage												Nasty Plot	Body Slam	Crunch	Fake Out	Revenge	Heat Wave	Power Trip											TM06 - Toxic	TM08 - Bulk Up	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM32 - Double Team	TM35 - Flamethrower	TM38 - Fire Blast	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM51 - Will-O-Wisp																										Body Slam	Double-Edge	Endure	Sleep Talk	Snore	Swagger	Swords Dance																	725	1 Spe	0.4	4.3	64	45	15	50	Medium Slow
Torracat	726	5	Fire		65	85	50	80	50	90	420	65	85	50	80	50	90	420	0	0	0	0	0	0	0	Blaze	Rivalry	Intimidate	Lv. 17			Litten (evolve)	Field	Field	1, Scratch	1, Ember	4, Growl	8, Lick	11, Leer	14, Fire Fang	16, Double Kick	18, Roar	22, Bite	25, Swagger	29, Fury Swipes	32, Thrash	35, Flamethrower	39, Parting Shot	42, Crush Claw	46, Flare Blitz	50, Outrage											Nasty Plot	Body Slam	Crunch	Fake Out	Revenge	Heat Wave	Power Trip											TM06 - Toxic	TM08 - Bulk Up	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM32 - Double Team	TM35 - Flamethrower	TM38 - Fire Blast	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM51 - Will-O-Wisp																										Body Slam	Double-Edge	Endure	Sleep Talk	Snore	Swagger	Swords Dance																	726	2 Spe	0.7	25.0	147	45	15	50	Medium Slow
Incineroar	727	6	Fire	Dark	95	115	90	80	90	60	530	95	115	90	80	90	60	530	0	0	0	0	0	0	0	Blaze	Rivalry	Intimidate	Lv. 34			Torracat (evolve)	Field	Field	Evo, Darkest Lariat	1, Bulk Up	1, Throat Chop	1, Scratch	1, Ember	4, Growl	8, Lick	11, Leer	14, Fire Fang	16, Double Kick	18, Roar	22, Bite	25, Swagger	29, Fury Swipes	32, Thrash	35, Flamethrower	39, Parting Shot	42, Crush Claw	46, Flare Blitz	50, Outrage	55, Cross Chop							Nasty Plot	Body Slam	Crunch	Fake Out	Revenge	Heat Wave	Power Trip											TM06 - Toxic	TM08 - Bulk Up	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM26 - Earthquake	TM31 - Brick Break	TM32 - Double Team	TM35 - Flamethrower	TM38 - Fire Blast	TM40 - Aerial Ace	TM41 - Torment	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM46 - Thief	TM49 - Bulldoze	TM51 - Will-O-Wisp	TM55 - Snarl	TM59 - Dark Pulse																			Body Slam	Double-Edge	Endure	Fire Punch	Mega Kick	Mega Punch	Sleep Talk	Snore	Swagger	Swords Dance	Thunder Punch													727	3 Atk	1.8	83.0	239	45	15	50	Medium Slow
Popplio	728	7	Water		50	54	54	66	56	40	320	50	54	54	66	56	40	320	0	0	0	0	0	0	0	Torrent	Liquid Voice	Propeller Tail				Starter, 100 Unique Species (event) Sea of Vulcai (wild)	Water 1	Field	1, Pound	1, Water Gun	4, Growl	8, Disarming Voice	11, Baby-Doll Eyes	14, Aqua Jet	16, Icy Wind	18, Encore	22, Bubble Beam	25, Sing	29, Ice Shard	32, Hyper Voice	36, Moonblast	39, Captivate	43, Hydro Pump	46, Misty Terrain												Charm	Amnesia	Aqua Ring	Aromatic Mist	Perish Song	Wonder Room												TM03 - Water Pulse	TM06 - Toxic	TM07 - Whirlpool	TM13 - Ice Beam	TM14 - Blizzard	TM15 - Draining Kiss	TM17 - Protect	TM18 - Rain Dance	TM32 - Double Team	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM56 - Scald	HM03 - Surf	HM07 - Waterfall	HM08 - Dive																							Endure	Icy Wind	Sleep Talk	Snore	Swagger	Swift																		728	1 Sp. Atk	0.4	7.5	50	45	15	50	Medium Slow
Brionne	729	8	Water		60	69	69	91	81	50	420	60	69	69	91	81	50	420	0	0	0	0	0	0	0	Torrent	Liquid Voice	Propeller Tail	Lv. 17			Popplio (evolve)	Water 1	Field	1, Pound	1, Water Gun	4, Growl	8, Disarming Voice	11, Baby-Doll Eyes	14, Aqua Jet	16, Icy Wind	19, Encore	22, Bubble Beam	26, Echoed Voice	28, Sing	30, Ice Shard	34, Hyper Voice	37, Dazzling Gleam	41, Captivate	44, Moonblast	48, Hydro Pump	50, Misty Terrain										Charm	Amnesia	Aqua Ring	Aromatic Mist	Perish Song	Wonder Room												TM03 - Water Pulse	TM06 - Toxic	TM07 - Whirlpool	TM13 - Ice Beam	TM14 - Blizzard	TM15 - Draining Kiss	TM17 - Protect	TM18 - Rain Dance	TM32 - Double Team	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM56 - Scald	HM03 - Surf	HM07 - Waterfall	HM08 - Dive																							Body Slam	Endure	Icy Wind	Sleep Talk	Snore	Swagger	Swift																	729	2 Sp. Atk	0.6	17.5	147	45	15	50	Medium Slow
Primarina	730	9	Water	Fairy	80	74	74	126	116	60	530	80	74	74	126	116	60	530	0	0	0	0	0	0	0	Torrent	Liquid Voice	Propeller Tail	Lv. 34			Brionne (evolve)	Water 1	Field	Evo, Sparkling Aria	1, Pound	1, Water Gun	4, Growl	8, Disarming Voice	11, Baby-Doll Eyes	14, Aqua Jet	16, Icy Wind	19, Encore	22, Bubble Beam	26, Echoed Voice	28, Sing	30, Ice Shard	34, Hyper Voice	37, Dazzling Gleam	41, Captivate	44, Moonblast	48, Hydro Pump	50, Misty Terrain									Charm	Amnesia	Aqua Ring	Aromatic Mist	Perish Song	Wonder Room												TM03 - Water Pulse	TM04 - Calm Mind	TM06 - Toxic	TM07 - Whirlpool	TM13 - Ice Beam	TM14 - Blizzard	TM15 - Draining Kiss	TM16 - Light Screen	TM17 - Protect	TM18 - Rain Dance	TM29 - Psychic	TM30 - Shadow Ball	TM32 - Double Team	TM33 - Reflect	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM54 - Dazzling Gleam	TM56 - Scald	HM03 - Surf	HM07 - Waterfall	HM08 - Dive																	Body Slam	Endure	Icy Wind	Psych Up	Sleep Talk	Snore	Swagger	Swift																730	3 Sp. Atk	1.8	44.0	239	45	15	50	Medium Slow
Chespin	650	10	Grass		56	61	65	48	45	38	313	56	61	65	48	45	38	313	0	0	0	0	0	0	0	Overgrow	Long Reach	Spiked Shell				Starter, 135 Unique Species (event) Sea of Asteri E (wild)	Field	Field	1, Tackle	1, Growl	5, Vine Whip	8, Rollout	11, Bite	15, Leech Seed	18, Pin Missile	24, Mud Shot	27, Vital Throw	32, Seed Bomb	35, Dig	39, Bulk Up	42, Body Slam	45, Pain Split	48, Wood Hammer													Synthesis	Belly Drum	Curse	Quick Guard	Spikes	Defense Curl	Rollout	Power-Up Punch										TM06 - Toxic	TM08 - Bulk Up	TM09 - Bullet Seed	TM11 - Sunny Day	TM12 - Taunt	TM17 - Protect	TM18 - Rain Dance	TM19 - Giga Drain	TM20 - Poison Jab	TM22 - Solar Beam	TM28 - Dig	TM31 - Brick Break	TM32 - Double Team	TM33 - Reflect	TM36 - Sludge Bomb	TM39 - Rock Tomb	TM40 - Aerial Ace	TM42 - Facade	TM44 - Rest	TM45 - Attract	TM49 - Bulldoze	TM53 - Power-Up Punch	HM01 - Cut	HM04 - Strength	HM05 - Flash	HM06 - Rock Smash													Body Slam	Defense Curl	Endure	Rock Slide	Rollout	Sleep Talk	Snore	Swagger	Swift	Swords Dance	Thunder Punch													650	1 Def	0.4	9.0	63	45	20	50	Medium Slow
